date,b_product_app_bundle_dev_os_kpi_action,campaign_id,num_examples
2026-04-15,id1112407590:ios:zp_npuall,OTh3FqM3vteUsp7f,155773
2026-04-15,id1112407590:ios:zp_npuall,hkSJo4zlGNoIzLbC,98477
2026-04-14,id1112407590:ios:zp_npuall,OTh3FqM3vteUsp7f,145124
2026-04-14,id1112407590:ios:zp_npuall,hkSJo4zlGNoIzLbC,89361
