campaign_id,state,timestamp
RGPQHVtHfPNlSXcU,ACTIVE,2026-04-17 02:29:35.450196+00:00
RGPQHVtHfPNlSXcU,PAUSED,2026-04-15 06:36:33.675706+00:00
RGPQHVtHfPNlSXcU,READY,2026-04-15 06:36:14.378502+00:00
