hour_utc,campaign_id,impressions,avg_win_price_usd,p50_win_price_usd,p90_win_price_usd
2026-03-27 15:00:00,BhTo5PHbtcsuQwkh,30869,0.00167714,0.000065,0.005008
2026-03-27 15:00:00,VveaqT1OAcxlbXSv,68232,0.00109550,0.000214,0.000801
2026-03-27 16:00:00,BhTo5PHbtcsuQwkh,17648,0.00152678,0.000053,0.004158
2026-03-27 16:00:00,VveaqT1OAcxlbXSv,67783,0.00110252,0.000210,0.000809
2026-03-27 17:00:00,BhTo5PHbtcsuQwkh,14943,0.00179070,0.000060,0.004831
2026-03-27 17:00:00,VveaqT1OAcxlbXSv,72298,0.00109119,0.000229,0.000852
2026-03-27 18:00:00,BhTo5PHbtcsuQwkh,9734,0.00195787,0.000068,0.004743
2026-03-27 18:00:00,VveaqT1OAcxlbXSv,80130,0.00104438,0.000210,0.000795
2026-03-27 19:00:00,BhTo5PHbtcsuQwkh,7746,0.00217388,0.000100,0.005455
2026-03-27 19:00:00,VveaqT1OAcxlbXSv,84017,0.00093246,0.000197,0.000754
2026-03-27 20:00:00,BhTo5PHbtcsuQwkh,18686,0.01174365,0.000875,0.026973
2026-03-27 20:00:00,VveaqT1OAcxlbXSv,68678,0.00457129,0.000306,0.009915
2026-03-27 21:00:00,BhTo5PHbtcsuQwkh,39031,0.00399514,0.000467,0.011736
2026-03-27 21:00:00,VveaqT1OAcxlbXSv,214001,0.00182444,0.000518,0.002400
2026-03-27 22:00:00,BhTo5PHbtcsuQwkh,76545,0.00220832,0.000310,0.005867
2026-03-27 22:00:00,VveaqT1OAcxlbXSv,290205,0.00121819,0.000436,0.001771
2026-03-27 23:00:00,BhTo5PHbtcsuQwkh,100966,0.00146749,0.000268,0.002890
2026-03-27 23:00:00,VveaqT1OAcxlbXSv,346601,0.00045346,0.000274,0.000938
