hour_utc,campaign_id,reason_group,req_vol
2026-03-27 00:00:00,VveaqT1OAcxlbXSv,loss-based throttler,1.984E8
2026-03-27 00:00:00,VveaqT1OAcxlbXSv,targeting filter,8.88E7
2026-03-27 00:00:00,VveaqT1OAcxlbXSv,inv format freq cap,5.3E7
2026-03-27 00:00:00,VveaqT1OAcxlbXSv,no compatible creatives,2.94E7
2026-03-27 00:00:00,VveaqT1OAcxlbXSv,other,200000.0
2026-03-27 00:00:00,VveaqT1OAcxlbXSv,no available deal,100000.0
2026-03-27 06:00:00,BhTo5PHbtcsuQwkh,bid_submitted,4.009E8
2026-03-27 06:00:00,BhTo5PHbtcsuQwkh,no compatible creatives,2.23143E8
2026-03-27 06:00:00,BhTo5PHbtcsuQwkh,category_blocked,6.07E7
2026-03-27 06:00:00,BhTo5PHbtcsuQwkh,loss-based throttler,4.22E7
2026-03-27 06:00:00,BhTo5PHbtcsuQwkh,campaign_cap,1.94E7
2026-03-27 06:00:00,BhTo5PHbtcsuQwkh,inv format freq cap,3200000.0
2026-03-27 06:00:00,BhTo5PHbtcsuQwkh,targeting filter,2600000.0
2026-03-27 06:00:00,BhTo5PHbtcsuQwkh,no available deal,1400000.0
2026-03-27 06:00:00,BhTo5PHbtcsuQwkh,blocked advertiser/app,1100000.0
2026-03-27 06:00:00,BhTo5PHbtcsuQwkh,other,20.0
2026-03-27 06:00:00,VveaqT1OAcxlbXSv,bid_submitted,1.759E9
2026-03-27 06:00:00,VveaqT1OAcxlbXSv,category_blocked,1.559E8
2026-03-27 06:00:00,VveaqT1OAcxlbXSv,loss-based throttler,1.273E8
2026-03-27 06:00:00,VveaqT1OAcxlbXSv,targeting filter,7.01E7
2026-03-27 06:00:00,VveaqT1OAcxlbXSv,campaign_cap,6.81E7
2026-03-27 06:00:00,VveaqT1OAcxlbXSv,inv format freq cap,1.74E7
2026-03-27 06:00:00,VveaqT1OAcxlbXSv,no compatible creatives,1.44E7
2026-03-27 06:00:00,VveaqT1OAcxlbXSv,blocked advertiser/app,8600000.0
2026-03-27 06:00:00,VveaqT1OAcxlbXSv,other,20.0
2026-03-27 12:00:00,BhTo5PHbtcsuQwkh,bid_submitted,2.883E8
2026-03-27 12:00:00,BhTo5PHbtcsuQwkh,budget_overspent,1.73009E8
2026-03-27 12:00:00,BhTo5PHbtcsuQwkh,no compatible creatives,9.5267E7
2026-03-27 12:00:00,BhTo5PHbtcsuQwkh,loss-based throttler,4.07E7
2026-03-27 12:00:00,BhTo5PHbtcsuQwkh,category_blocked,2.22E7
2026-03-27 12:00:00,BhTo5PHbtcsuQwkh,campaign_cap,1.13E7
2026-03-27 12:00:00,BhTo5PHbtcsuQwkh,targeting filter,2100000.0
2026-03-27 12:00:00,BhTo5PHbtcsuQwkh,inv format freq cap,1300000.0
2026-03-27 12:00:00,BhTo5PHbtcsuQwkh,no available deal,1200000.0
2026-03-27 12:00:00,BhTo5PHbtcsuQwkh,blocked advertiser/app,600000.0
2026-03-27 12:00:00,VveaqT1OAcxlbXSv,bid_submitted,3.754E9
2026-03-27 12:00:00,VveaqT1OAcxlbXSv,budget_overspent,4.001E8
2026-03-27 12:00:00,VveaqT1OAcxlbXSv,loss-based throttler,3.204E8
2026-03-27 12:00:00,VveaqT1OAcxlbXSv,category_blocked,2.775E8
2026-03-27 12:00:00,VveaqT1OAcxlbXSv,campaign_cap,1.67E8
2026-03-27 12:00:00,VveaqT1OAcxlbXSv,targeting filter,8.26E7
2026-03-27 12:00:00,VveaqT1OAcxlbXSv,inv format freq cap,4.45E7
2026-03-27 12:00:00,VveaqT1OAcxlbXSv,no compatible creatives,2.73E7
2026-03-27 12:00:00,VveaqT1OAcxlbXSv,blocked advertiser/app,2.07E7
2026-03-27 12:00:00,VveaqT1OAcxlbXSv,no available deal,100000.0
2026-03-27 18:00:00,BhTo5PHbtcsuQwkh,budget_overspent,1.6154E8
2026-03-27 18:00:00,BhTo5PHbtcsuQwkh,bid_submitted,4.66E7
2026-03-27 18:00:00,BhTo5PHbtcsuQwkh,no compatible creatives,1.8009E7
2026-03-27 18:00:00,BhTo5PHbtcsuQwkh,loss-based throttler,8700048.0
2026-03-27 18:00:00,BhTo5PHbtcsuQwkh,campaign_cap,8200000.0
2026-03-27 18:00:00,BhTo5PHbtcsuQwkh,category_blocked,3400000.0
2026-03-27 18:00:00,BhTo5PHbtcsuQwkh,inv format freq cap,900000.0
2026-03-27 18:00:00,BhTo5PHbtcsuQwkh,no available deal,900000.0
2026-03-27 18:00:00,BhTo5PHbtcsuQwkh,targeting filter,700000.0
2026-03-27 18:00:00,BhTo5PHbtcsuQwkh,other,13.0
2026-03-27 18:00:00,VveaqT1OAcxlbXSv,budget_overspent,7.7788E9
2026-03-27 18:00:00,VveaqT1OAcxlbXSv,bid_submitted,1.9919E9
2026-03-27 18:00:00,VveaqT1OAcxlbXSv,loss-based throttler,4.599E8
2026-03-27 18:00:00,VveaqT1OAcxlbXSv,category_blocked,1.165E8
2026-03-27 18:00:00,VveaqT1OAcxlbXSv,campaign_cap,9.36E7
2026-03-27 18:00:00,VveaqT1OAcxlbXSv,targeting filter,3.58E7
2026-03-27 18:00:00,VveaqT1OAcxlbXSv,inv format freq cap,2.44E7
2026-03-27 18:00:00,VveaqT1OAcxlbXSv,blocked advertiser/app,1.39E7
2026-03-27 18:00:00,VveaqT1OAcxlbXSv,no compatible creatives,1.26E7
2026-03-27 18:00:00,VveaqT1OAcxlbXSv,other,1000013.0
2026-03-27 18:00:00,VveaqT1OAcxlbXSv,no available deal,200000.0
2026-03-28 00:00:00,BhTo5PHbtcsuQwkh,budget_overspent,7.26598E8
2026-03-28 00:00:00,BhTo5PHbtcsuQwkh,loss-based throttler,3.64E7
2026-03-28 00:00:00,BhTo5PHbtcsuQwkh,no compatible creatives,6173000.0
2026-03-28 00:00:00,BhTo5PHbtcsuQwkh,campaign_cap,3400000.0
2026-03-28 00:00:00,BhTo5PHbtcsuQwkh,bid_submitted,1900000.0
2026-03-28 00:00:00,BhTo5PHbtcsuQwkh,no available deal,1200000.0
2026-03-28 00:00:00,BhTo5PHbtcsuQwkh,category_blocked,1100000.0
2026-03-28 00:00:00,BhTo5PHbtcsuQwkh,targeting filter,300000.0
2026-03-28 00:00:00,BhTo5PHbtcsuQwkh,inv format freq cap,100000.0
2026-03-28 00:00:00,VveaqT1OAcxlbXSv,budget_overspent,1.29655E10
2026-03-28 00:00:00,VveaqT1OAcxlbXSv,loss-based throttler,4.598E8
2026-03-28 00:00:00,VveaqT1OAcxlbXSv,campaign_cap,6300000.0
2026-03-28 00:00:00,VveaqT1OAcxlbXSv,bid_submitted,5300000.0
2026-03-28 00:00:00,VveaqT1OAcxlbXSv,category_blocked,1900000.0
2026-03-28 00:00:00,VveaqT1OAcxlbXSv,inv format freq cap,1100000.0
2026-03-28 00:00:00,VveaqT1OAcxlbXSv,targeting filter,300000.0
2026-03-28 00:00:00,VveaqT1OAcxlbXSv,blocked advertiser/app,300000.0
2026-03-28 00:00:00,VveaqT1OAcxlbXSv,no compatible creatives,200000.0
2026-03-28 06:00:00,BhTo5PHbtcsuQwkh,budget_overspent,8.45435E8
2026-03-28 06:00:00,BhTo5PHbtcsuQwkh,loss-based throttler,4.97E7
2026-03-28 06:00:00,BhTo5PHbtcsuQwkh,no available deal,1800000.0
2026-03-28 06:00:00,VveaqT1OAcxlbXSv,budget_overspent,4.3281E9
2026-03-28 06:00:00,VveaqT1OAcxlbXSv,loss-based throttler,1.079E8
2026-03-28 12:00:00,BhTo5PHbtcsuQwkh,budget_overspent,4.32551E8
2026-03-28 12:00:00,BhTo5PHbtcsuQwkh,campaign_cap,5.54E7
