cr_format,format_label,bid_requests,bids,bids_won,impressions,spend_usd,bid_rate,win_rate,serve_rate
ib,Bizboard,28387030000,3983199500,2043768900,1722205286,591679.4671260003,0.14031758517886514,0.5130972977878713,0.842661460402886
ni,Native Image,8757240000,229422100,31053500,5009602,14494.179536,0.02619799160466083,0.13535531232605752,0.1613216545638978
nl,Native List,0,4703467100,330184000,211431112,22720.002576000003,,0.07020012960226724,0.6403432994936157
