format_group,os,p25_bidfloor,p50_bidfloor,p75_bidfloor,p90_bidfloor,avg_bidfloor,sampled_requests
Bizboard (Banner),ANDROID,0.20415802509010417,0.20669697874720067,0.20791749763305184,0.20829572297075674,0.2080051772014859,2838704
Native,ANDROID,0.006860498644021438,0.006930583254435061,0.06862334795488685,0.20356925421721178,0.04466798708715524,875733
