format_group,bid_vol,throttled_vol,vbt_vol,total_vol,bid_rate,throttle_rate,vbt_rate
Bizboard (ib),858300000.0,2584500000.0,2279900000.0,6262604785.0,0.13705159904961176,0.41268770563173895,0.3640497968929393
Native (ni+nl),968700000.0,837600000.0,660300000.0,2015102374.0,0.48071999343493405,0.4156612640663784,0.3276756598173706
