date,observed,trend_7dma,seasonal,residual
2026-02-01,3954.0,,-578.6972789115647,
2026-02-02,4049.0,,-303.1972789115646,
2026-02-03,3675.0,,232.37414965986397,
2026-02-04,3560.0,3167.285714285714,432.3741496598639,-39.65986394557814
2026-02-05,2852.0,2879.285714285714,610.0170068027211,-637.3027210884353
2026-02-06,2300.0,2630.1428571428573,133.7074829931973,-463.8503401360546
2026-02-07,1781.0,2432.5714285714284,-526.578231292517,-124.99319727891145
2026-02-08,1938.0,2245.0,-578.6972789115647,271.6972789115647
2026-02-09,2305.0,2208.0,-303.1972789115646,400.1972789115646
2026-02-10,2292.0,2226.285714285714,232.37414965986397,-166.6598639455782
2026-02-11,2247.0,2203.0,432.3741496598639,-388.3741496598639
2026-02-12,2593.0,2122.285714285714,610.0170068027211,-139.3027210884353
2026-02-13,2428.0,1962.2857142857142,133.7074829931973,332.0068027210885
2026-02-14,1618.0,1856.7142857142858,-526.578231292517,287.8639455782312
2026-02-15,1373.0,1775.2857142857142,-578.6972789115647,176.41156462585047
2026-02-16,1185.0,1789.7142857142858,-303.1972789115646,-301.5170068027212
2026-02-17,1553.0,1779.857142857143,232.37414965986397,-459.23129251700686
2026-02-18,1677.0,1764.0,432.3741496598639,-519.3741496598639
2026-02-19,2694.0,1791.7142857142858,610.0170068027211,292.26870748299314
2026-02-20,2359.0,1939.5714285714287,133.7074829931973,285.72108843537404
2026-02-21,1507.0,2040.2857142857142,-526.578231292517,-6.707482993197232
2026-02-22,1567.0,2199.1428571428573,-578.6972789115647,-53.44557823129264
2026-02-23,2220.0,2306.8571428571427,-303.1972789115646,216.34013605442192
2026-02-24,2258.0,2312.8571428571427,232.37414965986397,-287.23129251700664
2026-02-25,2789.0,2276.8571428571427,432.3741496598639,79.76870748299342
2026-02-26,3448.0,2204.5714285714284,610.0170068027211,633.4115646258505
2026-02-27,2401.0,2099.714285714286,133.7074829931973,167.57823129251693
2026-02-28,1255.0,2460.8571428571427,-526.578231292517,-679.2789115646257
2026-03-01,1061.0,2728.0,-578.6972789115647,-1088.3027210884352
2026-03-02,1486.0,2815.285714285714,-303.1972789115646,-1026.0884353741496
2026-03-03,4786.0,2935.0,232.37414965986397,1618.625850340136
2026-03-04,4659.0,3125.714285714286,432.3741496598639,1100.9115646258504
2026-03-05,4059.0,3321.8571428571427,610.0170068027211,127.12585034013625
2026-03-06,3239.0,3459.5714285714284,133.7074829931973,-354.27891156462573
2026-03-07,2590.0,3089.714285714286,-526.578231292517,26.86394557823121
2026-03-08,2434.0,2714.1428571428573,-578.6972789115647,298.55442176870736
2026-03-09,2450.0,2420.285714285714,-303.1972789115646,332.91156462585036
2026-03-10,2197.0,2204.1428571428573,232.37414965986397,-239.5170068027213
2026-03-11,2030.0,2040.5714285714287,432.3741496598639,-442.9455782312926
2026-03-12,2002.0,1877.857142857143,610.0170068027211,-485.874149659864
2026-03-13,1726.0,1769.142857142857,133.7074829931973,-176.8503401360544
2026-03-14,1445.0,1685.0,-526.578231292517,286.578231292517
2026-03-15,1295.0,1688.2857142857142,-578.6972789115647,185.41156462585047
2026-03-16,1689.0,1823.7142857142858,-303.1972789115646,168.4829931972788
2026-03-17,1608.0,2051.285714285714,232.37414965986397,-675.6598639455782
2026-03-18,2053.0,1980.142857142857,432.3741496598639,-359.517006802721
2026-03-19,2950.0,1956.2857142857142,610.0170068027211,383.6972789115647
2026-03-20,3319.0,1959.857142857143,133.7074829931973,1225.4353741496598
2026-03-21,947.0,1975.7142857142858,-526.578231292517,-502.1360544217688
2026-03-22,1128.0,1969.7142857142858,-578.6972789115647,-263.0170068027211
2026-03-23,1714.0,1815.857142857143,-303.1972789115646,201.3401360544217
2026-03-24,1719.0,1567.2857142857142,232.37414965986397,-80.6598639455782
2026-03-25,2011.0,1608.142857142857,432.3741496598639,-29.517006802721028
2026-03-26,1873.0,1634.142857142857,610.0170068027211,-371.1598639455782
2026-03-27,1579.0,1616.5714285714287,133.7074829931973,-171.27891156462596
2026-03-28,1233.0,1881.2857142857142,-526.578231292517,-121.70748299319723
2026-03-29,1310.0,2126.5714285714284,-578.6972789115647,-237.87414965986375
2026-03-30,1591.0,2175.1428571428573,-303.1972789115646,-280.94557823129276
2026-03-31,3572.0,2172.1428571428573,232.37414965986397,1167.4829931972786
2026-04-01,3728.0,2172.4285714285716,432.3741496598639,1123.1972789115646
2026-04-02,2213.0,2171.285714285714,610.0170068027211,-568.3027210884353
2026-04-03,1558.0,2171.4285714285716,133.7074829931973,-747.1360544217689
2026-04-04,1235.0,1877.142857142857,-526.578231292517,-115.56462585034012
2026-04-05,1302.0,1609.857142857143,-578.6972789115647,270.8401360544218
2026-04-06,1592.0,1518.2857142857142,-303.1972789115646,376.91156462585036
2026-04-07,1512.0,1518.0,232.37414965986397,-238.37414965986397
2026-04-08,1857.0,1496.4285714285713,432.3741496598639,-71.80272108843525
2026-04-09,1572.0,1491.142857142857,610.0170068027211,-529.1598639455782
2026-04-10,1556.0,1525.0,133.7074829931973,-102.70748299319729
2026-04-11,1084.0,1597.0,-526.578231292517,13.578231292516989
2026-04-12,1265.0,1630.7142857142858,-578.6972789115647,212.98299319727892
2026-04-13,1829.0,1721.0,-303.1972789115646,411.1972789115646
2026-04-14,2016.0,1812.0,232.37414965986397,-28.374149659863974
2026-04-15,2093.0,1872.7142857142858,432.3741496598639,-212.0884353741497
2026-04-16,2204.0,,610.0170068027211,
2026-04-17,2193.0,,133.7074829931973,
2026-04-18,1509.0,,-526.578231292517,
